year,month,state,rolling_12_month_deaths,data_source,population,median_household_income,unemployment_rate
2015,2015-02-01,South Carolina,122,CDC SODA API,4777576,45483,9.51
2015,2015-02-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-02-01,Tennessee,0,CDC SODA API,6499615,45219,8.44
2015,2015-02-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-02-01,United States,6079,CDC SODA API,,,
2015,2015-02-01,Utah,62,CDC SODA API,2903379,60727,5.77
2015,2015-02-01,Vermont,20,CDC SODA API,626604,55176,5.48
2015,2015-02-01,Virginia,192,CDC SODA API,8256630,65015,6.47
2015,2015-02-01,Washington,68,CDC SODA API,6985464,61062,7.85
2015,2015-02-01,West Virginia,139,CDC SODA API,1851420,41751,7.78
2015,2015-02-01,Wisconsin,101,CDC SODA API,5742117,53357,6.3
2015,2015-02-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-03-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-03-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-03-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-03-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-03-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-03-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-03-01,Connecticut,103,CDC SODA API,3593222,70331,8.82
2015,2015-03-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-03-01,District of Columbia,20,CDC SODA API,647484,70848,9.58
2015,2015-03-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-03-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-03-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-03-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-03-01,Illinois,136,CDC SODA API,12873761,57574,9.09
2015,2015-03-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-03-01,Iowa,34,CDC SODA API,3093526,53183,4.94
2015,2015-03-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-03-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-03-01,Maine,70,CDC SODA API,1329100,49331,6.82
2015,2015-03-01,Maryland,263,CDC SODA API,5930538,74551,7.4
2015,2015-03-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-03-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-03-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-03-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-03-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-03-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-03-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-03-01,Nevada,30,CDC SODA API,2798636,51847,10.49
2015,2015-03-01,New Hampshire,198,CDC SODA API,1324201,66779,5.76
2015,2015-03-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-03-01,New Mexico,59,CDC SODA API,2084117,44963,9.22
2015,2015-03-01,New York,298,CDC SODA API,19673174,59269,8.22
2015,2015-03-01,New York City,39,CDC SODA API,,,
2015,2015-03-01,North Carolina,234,CDC SODA API,9845333,46868,9.39
2015,2015-03-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-03-01,Ohio,0,CDC SODA API,11575977,49429,8.17
2015,2015-03-01,Oklahoma,76,CDC SODA API,3849733,46879,6.32
2015,2015-03-01,Oregon,29,CDC SODA API,3939233,51243,9.32
2015,2015-03-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-03-01,Rhode Island,88,CDC SODA API,1053661,56852,8.55
2015,2015-03-01,South Carolina,136,CDC SODA API,4777576,45483,9.51
2015,2015-03-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-03-01,Tennessee,0,CDC SODA API,6499615,45219,8.44
2015,2015-03-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-03-01,United States,6390,CDC SODA API,,,
2015,2015-03-01,Utah,58,CDC SODA API,2903379,60727,5.77
2015,2015-03-01,Vermont,19,CDC SODA API,626604,55176,5.48
2015,2015-03-01,Virginia,191,CDC SODA API,8256630,65015,6.47
2015,2015-03-01,Washington,67,CDC SODA API,6985464,61062,7.85
2015,2015-03-01,West Virginia,143,CDC SODA API,1851420,41751,7.78
2015,2015-03-01,Wisconsin,103,CDC SODA API,5742117,53357,6.3
2015,2015-03-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-04-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-04-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-04-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-04-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-04-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-04-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-04-01,Connecticut,121,CDC SODA API,3593222,70331,8.82
2015,2015-04-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-04-01,District of Columbia,20,CDC SODA API,647484,70848,9.58
2015,2015-04-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-04-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-04-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-04-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-04-01,Illinois,143,CDC SODA API,12873761,57574,9.09
2015,2015-04-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-04-01,Iowa,39,CDC SODA API,3093526,53183,4.94
2015,2015-04-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-04-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-04-01,Maine,81,CDC SODA API,1329100,49331,6.82
2015,2015-04-01,Maryland,244,CDC SODA API,5930538,74551,7.4
2015,2015-04-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-04-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-04-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-04-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-04-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-04-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-04-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-04-01,Nevada,29,CDC SODA API,2798636,51847,10.49
2015,2015-04-01,New Hampshire,219,CDC SODA API,1324201,66779,5.76
2015,2015-04-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-04-01,New Mexico,56,CDC SODA API,2084117,44963,9.22
2015,2015-04-01,New York,332,CDC SODA API,19673174,59269,8.22
2015,2015-04-01,New York City,43,CDC SODA API,,,
2015,2015-04-01,North Carolina,236,CDC SODA API,9845333,46868,9.39
2015,2015-04-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-04-01,Ohio,823,CDC SODA API,11575977,49429,8.17
2015,2015-04-01,Oklahoma,81,CDC SODA API,3849733,46879,6.32
2015,2015-04-01,Oregon,32,CDC SODA API,3939233,51243,9.32
2015,2015-04-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-04-01,Rhode Island,93,CDC SODA API,1053661,56852,8.55
2015,2015-04-01,South Carolina,141,CDC SODA API,4777576,45483,9.51
2015,2015-04-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-04-01,Tennessee,175,CDC SODA API,6499615,45219,8.44
2015,2015-04-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-04-01,United States,6868,CDC SODA API,,,
2015,2015-04-01,Utah,62,CDC SODA API,2903379,60727,5.77
2015,2015-04-01,Vermont,23,CDC SODA API,626604,55176,5.48
2015,2015-04-01,Virginia,198,CDC SODA API,8256630,65015,6.47
2015,2015-04-01,Washington,68,CDC SODA API,6985464,61062,7.85
2015,2015-04-01,West Virginia,165,CDC SODA API,1851420,41751,7.78
2015,2015-04-01,Wisconsin,0,CDC SODA API,5742117,53357,6.3
2015,2015-04-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-05-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-05-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-05-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-05-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-05-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-05-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-05-01,Connecticut,123,CDC SODA API,3593222,70331,8.82
2015,2015-05-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-05-01,District of Columbia,23,CDC SODA API,647484,70848,9.58
2015,2015-05-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-05-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-05-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-05-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-05-01,Illinois,155,CDC SODA API,12873761,57574,9.09
2015,2015-05-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-05-01,Iowa,37,CDC SODA API,3093526,53183,4.94
2015,2015-05-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-05-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-05-01,Maine,83,CDC SODA API,1329100,49331,6.82
2015,2015-05-01,Maryland,233,CDC SODA API,5930538,74551,7.4
2015,2015-05-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-05-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-05-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-05-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-05-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-05-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-05-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-05-01,Nevada,28,CDC SODA API,2798636,51847,10.49
2015,2015-05-01,New Hampshire,234,CDC SODA API,1324201,66779,5.76
2015,2015-05-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-05-01,New Mexico,57,CDC SODA API,2084117,44963,9.22
2015,2015-05-01,New York,354,CDC SODA API,19673174,59269,8.22
2015,2015-05-01,New York City,44,CDC SODA API,,,
2015,2015-05-01,North Carolina,245,CDC SODA API,9845333,46868,9.39
2015,2015-05-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-05-01,Ohio,898,CDC SODA API,11575977,49429,8.17
2015,2015-05-01,Oklahoma,79,CDC SODA API,3849733,46879,6.32
2015,2015-05-01,Oregon,31,CDC SODA API,3939233,51243,9.32
2015,2015-05-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-05-01,Rhode Island,103,CDC SODA API,1053661,56852,8.55
2015,2015-05-01,South Carolina,150,CDC SODA API,4777576,45483,9.51
2015,2015-05-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-05-01,Tennessee,176,CDC SODA API,6499615,45219,8.44
2015,2015-05-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-05-01,United States,7254,CDC SODA API,,,
2015,2015-05-01,Utah,66,CDC SODA API,2903379,60727,5.77
2015,2015-05-01,Vermont,25,CDC SODA API,626604,55176,5.48
2015,2015-05-01,Virginia,206,CDC SODA API,8256630,65015,6.47
2015,2015-05-01,Washington,68,CDC SODA API,6985464,61062,7.85
2015,2015-05-01,West Virginia,164,CDC SODA API,1851420,41751,7.78
2015,2015-05-01,Wisconsin,0,CDC SODA API,5742117,53357,6.3
2015,2015-05-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-06-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-06-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-06-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-06-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-06-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-06-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-06-01,Connecticut,123,CDC SODA API,3593222,70331,8.82
2015,2015-06-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-06-01,District of Columbia,19,CDC SODA API,647484,70848,9.58
2015,2015-06-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-06-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-06-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-06-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-06-01,Illinois,159,CDC SODA API,12873761,57574,9.09
2015,2015-06-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-06-01,Iowa,39,CDC SODA API,3093526,53183,4.94
2015,2015-06-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-06-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-06-01,Maine,80,CDC SODA API,1329100,49331,6.82
2015,2015-06-01,Maryland,227,CDC SODA API,5930538,74551,7.4
2015,2015-06-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-06-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-06-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-06-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-06-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-06-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-06-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-06-01,Nevada,30,CDC SODA API,2798636,51847,10.49
2015,2015-06-01,New Hampshire,252,CDC SODA API,1324201,66779,5.76
2015,2015-06-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-06-01,New Mexico,61,CDC SODA API,2084117,44963,9.22
2015,2015-06-01,New York,375,CDC SODA API,19673174,59269,8.22
2015,2015-06-01,New York City,48,CDC SODA API,,,
2015,2015-06-01,North Carolina,257,CDC SODA API,9845333,46868,9.39
2015,2015-06-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-06-01,Ohio,924,CDC SODA API,11575977,49429,8.17
2015,2015-06-01,Oklahoma,89,CDC SODA API,3849733,46879,6.32
2015,2015-06-01,Oregon,34,CDC SODA API,3939233,51243,9.32
2015,2015-06-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-06-01,Rhode Island,115,CDC SODA API,1053661,56852,8.55
2015,2015-06-01,South Carolina,158,CDC SODA API,4777576,45483,9.51
2015,2015-06-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-06-01,Tennessee,183,CDC SODA API,6499615,45219,8.44
2015,2015-06-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-06-01,United States,7551,CDC SODA API,,,
2015,2015-06-01,Utah,63,CDC SODA API,2903379,60727,5.77
2015,2015-06-01,Vermont,27,CDC SODA API,626604,55176,5.48
2015,2015-06-01,Virginia,217,CDC SODA API,8256630,65015,6.47
2015,2015-06-01,Washington,68,CDC SODA API,6985464,61062,7.85
2015,2015-06-01,West Virginia,167,CDC SODA API,1851420,41751,7.78
2015,2015-06-01,Wisconsin,0,CDC SODA API,5742117,53357,6.3
2015,2015-06-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-07-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-07-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-07-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-07-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-07-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-07-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-07-01,Connecticut,146,CDC SODA API,3593222,70331,8.82
2015,2015-07-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-07-01,District of Columbia,17,CDC SODA API,647484,70848,9.58
2015,2015-07-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-07-01,Georgia,0,CDC SODA API,10006693,49620,9.65
2015,2015-07-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-07-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-07-01,Illinois,164,CDC SODA API,12873761,57574,9.09
2015,2015-07-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-07-01,Iowa,39,CDC SODA API,3093526,53183,4.94
2015,2015-07-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-07-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-07-01,Maine,89,CDC SODA API,1329100,49331,6.82
2015,2015-07-01,Maryland,231,CDC SODA API,5930538,74551,7.4
2015,2015-07-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-07-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-07-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
2015,2015-07-01,Mississippi,0,CDC SODA API,2988081,39665,10.31
2015,2015-07-01,Missouri,0,CDC SODA API,6045448,48173,7.47
2015,2015-07-01,Montana,0,CDC SODA API,1014699,47169,6.25
2015,2015-07-01,Nebraska,0,CDC SODA API,1869365,52997,4.69
2015,2015-07-01,Nevada,30,CDC SODA API,2798636,51847,10.49
2015,2015-07-01,New Hampshire,267,CDC SODA API,1324201,66779,5.76
2015,2015-07-01,New Jersey,0,CDC SODA API,8904413,72093,8.8
2015,2015-07-01,New Mexico,59,CDC SODA API,2084117,44963,9.22
2015,2015-07-01,New York,404,CDC SODA API,19673174,59269,8.22
2015,2015-07-01,New York City,50,CDC SODA API,,,
2015,2015-07-01,North Carolina,261,CDC SODA API,9845333,46868,9.39
2015,2015-07-01,North Dakota,0,CDC SODA API,721640,57181,2.87
2015,2015-07-01,Ohio,976,CDC SODA API,11575977,49429,8.17
2015,2015-07-01,Oklahoma,93,CDC SODA API,3849733,46879,6.32
2015,2015-07-01,Oregon,35,CDC SODA API,3939233,51243,9.32
2015,2015-07-01,Puerto Rico,0,CDC SODA API,3583073,19350,18.15
2015,2015-07-01,Rhode Island,128,CDC SODA API,1053661,56852,8.55
2015,2015-07-01,South Carolina,162,CDC SODA API,4777576,45483,9.51
2015,2015-07-01,South Dakota,0,CDC SODA API,843190,50957,4.48
2015,2015-07-01,Tennessee,196,CDC SODA API,6499615,45219,8.44
2015,2015-07-01,Texas,0,CDC SODA API,26538614,53207,7.01
2015,2015-07-01,United States,7890,CDC SODA API,,,
2015,2015-07-01,Utah,62,CDC SODA API,2903379,60727,5.77
2015,2015-07-01,Vermont,27,CDC SODA API,626604,55176,5.48
2015,2015-07-01,Virginia,214,CDC SODA API,8256630,65015,6.47
2015,2015-07-01,Washington,74,CDC SODA API,6985464,61062,7.85
2015,2015-07-01,West Virginia,176,CDC SODA API,1851420,41751,7.78
2015,2015-07-01,Wisconsin,0,CDC SODA API,5742117,53357,6.3
2015,2015-07-01,Wyoming,0,CDC SODA API,579679,58840,4.86
2015,2015-08-01,Alabama,0,CDC SODA API,4830620,43623,9.29
2015,2015-08-01,Alaska,0,CDC SODA API,733375,72515,8.18
2015,2015-08-01,Arizona,0,CDC SODA API,6641928,50255,8.93
2015,2015-08-01,Arkansas,0,CDC SODA API,2958208,41371,7.71
2015,2015-08-01,California,0,CDC SODA API,38421464,61818,9.88
2015,2015-08-01,Colorado,0,CDC SODA API,5278906,60629,6.94
2015,2015-08-01,Connecticut,152,CDC SODA API,3593222,70331,8.82
2015,2015-08-01,Delaware,0,CDC SODA API,926454,60509,7.71
2015,2015-08-01,District of Columbia,17,CDC SODA API,647484,70848,9.58
2015,2015-08-01,Florida,0,CDC SODA API,19645772,47507,9.69
2015,2015-08-01,Georgia,348,CDC SODA API,10006693,49620,9.65
2015,2015-08-01,Hawaii,0,CDC SODA API,1406299,69515,6.08
2015,2015-08-01,Idaho,0,CDC SODA API,1616547,47583,7.17
2015,2015-08-01,Illinois,176,CDC SODA API,12873761,57574,9.09
2015,2015-08-01,Indiana,0,CDC SODA API,6568645,49255,7.85
2015,2015-08-01,Iowa,41,CDC SODA API,3093526,53183,4.94
2015,2015-08-01,Kansas,0,CDC SODA API,2892987,52205,5.94
2015,2015-08-01,Kentucky,0,CDC SODA API,4397353,43740,8.44
2015,2015-08-01,Maine,96,CDC SODA API,1329100,49331,6.82
2015,2015-08-01,Maryland,243,CDC SODA API,5930538,74551,7.4
2015,2015-08-01,Massachusetts,0,CDC SODA API,6705586,68563,7.58
2015,2015-08-01,Michigan,0,CDC SODA API,9900571,49576,9.85
2015,2015-08-01,Minnesota,0,CDC SODA API,5419171,61492,5.6
